paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,2344;1,2348;6,4237;6,4265;2023-01-23 11:07:17.842;Intermediário
1,2346;1,235;6,4114;6,4142;2023-01-23 12:08:17.196;Intermediário
1,2366;1,2374;6,3907;6,3956;2023-01-23 13:10:05.271;Intermediário
1,2366;1,2374;6,4199;6,4248;2023-01-23 13:10:05.284;Fechamento
1,2289;1,229;6,3663;6,3676;2023-01-24 10:09:17.4;Abertura
1,2291;1,2295;6,3608;6,3636;2023-01-24 11:08:17.672;Intermediário
1,2266;1,2267000000000001;6,3367;6,338;2023-01-24 12:06:16.812;Intermediário
1,2313;1,2317;6,3465;6,3493;2023-01-24 13:07:36.427;Intermediário
1,2313;1,2317;6,3646;6,3674;2023-01-24 13:07:36.435;Fechamento
1,2328000000000001;1,2332;6,3053;6,3081;2023-01-25 10:10:16.908;Abertura
1,2316;1,2317;6,3048;6,3061;2023-01-25 11:08:16.633;Intermediário
1,2356;1,236;6,3091;6,3119;2023-01-25 12:03:17.489;Intermediário
1,2355;1,2359;6,2697;6,2724;2023-01-25 13:05:22.238;Intermediário
1,2355;1,2359;6,3055;6,3083;2023-01-25 13:05:22.246;Fechamento
1,2394;1,2398;6,3263;6,3291;2023-01-26 10:10:30.974;Abertura
1,2392;1,2393;6,3166;6,3178;2023-01-26 11:10:16.916;Intermediário
1,2377;1,238;6,3051;6,3074;2023-01-26 12:09:16.441;Intermediário
1,2354;1,2359;6,2785;6,2818;2023-01-26 13:02:40.378;Intermediário
1,2354;1,2359;6,2937;6,297;2023-01-26 13:02:40.388;Fechamento
1,2365;1,2367;6,2587;6,2604;2023-01-27 10:03:16.616;Abertura
1,237;1,2374;6,2764;6,2792;2023-01-27 11:09:17.667;Intermediário
1,2383;1,2386;6,2836;6,2859;2023-01-27 12:09:17.398;Intermediário
1,2355;1,2359;6,2943;6,297;2023-01-27 13:02:20.817;Intermediário
1,2355;1,2359;6,2715;6,2743;2023-01-27 13:02:20.823;Fechamento
1,239;1,2398;6,3154;6,3203;2023-01-30 10:08:40.771;Abertura
1,2373;1,2377;6,3076;6,3104;2023-01-30 11:11:17.456;Intermediário
1,2374;1,2378;6,3008;6,3037;2023-01-30 12:10:28.283;Intermediário
1,2378;1,2383;6,3054;6,3086;2023-01-30 13:09:30.18;Intermediário
1,2378;1,2383;6,307;6,3103;2023-01-30 13:09:30.184;Fechamento
1,23;1,2304;6,3136;6,3164;2023-01-31 10:04:18.477;Abertura
1,2321;1,2323;6,2647;6,2665;2023-01-31 11:11:17.036;Intermediário
1,2314;1,2318;6,2620000000000005;6,2648;2023-01-31 12:05:17.421;Intermediário
1,2304;1,2309;6,2734;6,2767;2023-01-31 13:11:17.029;Fechamento
1,2304;1,2309;6,265;6,2682;2023-01-31 13:11:17.118;Intermediário
1,2325;1,2328000000000001;6,2436;6,2459;2023-02-01 10:08:17.93;Abertura
1,2337;1,2341;6,2468;6,2496;2023-02-01 11:06:16.863;Intermediário
1,2339;1,2344;6,2703;6,2736;2023-02-01 12:02:17.664;Intermediário
1,2323;1,2328000000000001;6,2537;6,257;2023-02-01 13:04:22.992;Intermediário
1,2323;1,2328000000000001;6,2496;6,2529;2023-02-01 13:04:23.003;Fechamento
1,229;1,2295;6,1562;6,1594;2023-02-02 10:06:16.639;Abertura
1,23;1,2301;6,1131;6,1143;2023-02-02 11:10:16.843;Intermediário
1,2273;1,2275;6,1196;6,1213;2023-02-02 12:04:16.637;Intermediário
1,2291;1,2293;6,1364;6,1381;2023-02-02 13:06:34.979;Intermediário
1,2291;1,2293;6,1326;6,1343;2023-02-02 13:06:34.991;Fechamento
1,2243;1,2248;6,2141;6,2173;2023-02-03 10:06:17.451;Abertura
1,2123;1,2127;6,1798;6,1826;2023-02-03 11:08:17.024;Intermediário
1,21;1,2104;6,1911;6,1939;2023-02-03 12:10:17.398;Intermediário
1,2104;1,2105000000000001;6,1968;6,198;2023-02-03 13:10:20.721;Intermediário
1,2104;1,2105000000000001;6,1759;6,1772;2023-02-03 13:10:20.729;Fechamento
1,2067;1,2068;6,2233;6,2246;2023-02-06 10:04:20.025;Abertura
1,2047;1,2051;6,2281;6,2308;2023-02-06 11:08:16.56;Intermediário
1,2047;1,2049;6,2509;6,2527;2023-02-06 12:07:16.861;Intermediário
1,2011;1,2016;6,2301;6,2334;2023-02-06 13:09:36.674;Intermediário
1,2011;1,2016;6,2165;6,2198;2023-02-06 13:09:36.686;Fechamento
1,1985000000000001;1,1987;6,1554;6,1571;2023-02-07 10:10:17.1;Abertura
1,1978;1,1982;6,1911;6,1939;2023-02-07 11:05:16.382;Intermediário
1,1977;1,1978;6,2147;6,216;2023-02-07 12:10:17.065;Intermediário
1,2008;1,2012;6,2224;6,2252;2023-02-07 13:10:17.638;Intermediário
1,2008;1,2012;6,2068;6,2096;2023-02-07 13:10:17.648;Fechamento
1,2086999999999999;1,2091;6,2728;6,2756;2023-02-08 10:08:17.152;Abertura
1,2082;1,2086000000000001;6,2756;6,2784;2023-02-08 11:11:16.667;Intermediário
1,2067;1,207;6,2759;6,2782;2023-02-08 12:07:16.983;Intermediário
1,2079;1,208;6,3141;6,3153;2023-02-08 13:08:42.607;Intermediário
1,2079;1,208;6,2847;6,2859;2023-02-08 13:08:42.613;Fechamento
1,2159;1,2163;6,3365;6,3394;2023-02-09 10:04:16.94;Abertura
1,219;1,2194;6,322;6,3248;2023-02-09 11:08:16.618;Intermediário
1,2174;1,2179;6,4043;6,4076;2023-02-09 12:09:16.714;Intermediário
1,2169;1,217;6,4072;6,4085;2023-02-09 13:06:23.343;Intermediário
1,2169;1,217;6,3655;6,3667;2023-02-09 13:06:23.349;Fechamento
1,2091;1,2093;6,366;6,3678;2023-02-10 10:04:17.853;Abertura
1,2109;1,2113;6,3503;6,3531;2023-02-10 11:05:16.814;Intermediário
1,2102;1,2107;6,3627;6,3661;2023-02-10 12:15:10.379;Intermediário
1,2075;1,2076;6,3286;6,3299;2023-02-10 13:11:17.987;Intermediário
1,2075;1,2076;6,3418;6,343;2023-02-10 13:11:17.992;Fechamento
1,2105000000000001;1,2109;6,2893;6,2921;2023-02-13 10:12:46.313;Abertura
1,2086999999999999;1,2092;6,2936;6,2969;2023-02-13 11:02:16.826;Intermediário
1,2115;1,212;6,2506;6,2539;2023-02-13 12:10:19.446;Intermediário
1,2135;1,2139;6,2731;6,2759;2023-02-13 13:07:17.905;Intermediário
1,2135;1,2139;6,2893;6,2921;2023-02-13 13:07:17.912;Fechamento
1,221;1,2214;6,2965;6,2992;2023-02-14 10:07:46.387;Abertura
1,2207;1,2208;6,2759;6,2771;2023-02-14 11:06:16.681;Intermediário
1,2184;1,2188;6,2737;6,2765;2023-02-14 12:03:16.701;Intermediário
1,2154;1,2158;6,2632;6,266;2023-02-14 13:04:31.509;Intermediário
1,2154;1,2158;6,2594;6,2622;2023-02-14 13:04:31.517;Fechamento
1,2042;1,2046000000000001;6,2887;6,2915;2023-02-15 10:11:16.644;Abertura
1,2012;1,2016;6,2703;6,2731;2023-02-15 11:03:16.119;Intermediário
1,1989;1,1993;6,2643;6,2671;2023-02-15 12:04:16.913;Intermediário
1,2003;1,2004000000000001;6,2746;6,2758;2023-02-15 13:10:05.927;Intermediário
1,2003;1,2004000000000001;6,27;6,2712;2023-02-15 13:10:05.932;Fechamento
1,2039;1,204;6,3069;6,3081;2023-02-16 10:05:18.252;Abertura
1,1984;1,1988;6,285;6,2878;2023-02-16 11:09:16.717;Intermediário
1,1978;1,1982;6,2871;6,29;2023-02-16 12:07:17.604;Intermediário
1,201;1,2015;6,2911;6,2943999999999996;2023-02-16 13:07:19.153;Intermediário
1,201;1,2015;6,2964;6,2997;2023-02-16 13:07:19.16;Fechamento
1,1945000000000001;1,1946;6,2321;6,2333;2023-02-17 10:07:16.443;Abertura
1,1969;1,197;6,2326;6,2339;2023-02-17 11:05:17.65;Intermediário
1,1969;1,1973;6,21;6,2128;2023-02-17 12:11:16.639;Intermediário
1,1996;1,2;6,2251;6,2279;2023-02-17 13:11:21.862;Intermediário
1,1996;1,2;6,2386;6,2414;2023-02-17 13:11:21.869;Fechamento
1,2069;1,207;6,2554;6,2566;2023-02-22 14:32:19.049;Abertura
1,2073;1,2074;6,2318;6,2331;2023-02-22 15:39:24.519;Intermediário
1,2073;1,2074;6,2446;6,2459;2023-02-22 15:39:24.527;Fechamento
1,2047;1,2051;6,2052;6,208;2023-02-23 10:05:17.418;Abertura
1,2032;1,2036;6,1711;6,1739;2023-02-23 11:03:16.849;Intermediário
1,2056;1,206;6,1777;6,1805;2023-02-23 12:07:17.567;Intermediário
1,2022;1,2026;6,162;6,1648;2023-02-23 13:05:18.35;Intermediário
1,2022;1,2026;6,1702;6,1729;2023-02-23 13:05:18.359;Fechamento
1,1973;1,1977;6,1849;6,1877;2023-02-24 10:09:17.2;Abertura
1,1962;1,1966;6,1891;6,1919;2023-02-24 11:03:04.414;Intermediário
1,1948;1,1949;6,1949;6,1962;2023-02-24 12:08:18.741;Intermediário
1,194;1,1944;6,1961;6,1989;2023-02-24 13:10:55.21;Intermediário
1,194;1,1944;6,1831;6,1859;2023-02-24 13:10:55.215;Fechamento
1,1978;1,1979;6,2272;6,2285;2023-02-27 10:07:53.446;Abertura
1,2019;1,202;6,2416;6,2428;2023-02-27 11:02:37.475;Intermediário
1,2021;1,2022;6,2435;6,2447;2023-02-27 12:10:17.225;Intermediário
1,2024;1,2029;6,2473;6,2506;2023-02-27 13:11:43.006;Intermediário
1,2024;1,2029;6,2469;6,2503;2023-02-27 13:11:43.013;Fechamento
1,2102;1,2104;6,2965;6,2983;2023-02-28 10:04:18.278;Abertura
1,212;1,2125;6,2931;6,2964;2023-02-28 11:04:19.052;Intermediário
1,2136;1,214;6,3301;6,333;2023-02-28 12:11:16.604;Intermediário
1,2106;1,211;6,3165;6,3194;2023-02-28 13:11:19.189;Intermediário
1,2106;1,211;6,3038;6,3066;2023-02-28 13:11:19.197;Fechamento
1,2069;1,2073;6,2785;6,2813;2023-03-01 10:11:17.26;Abertura
1,2005;1,2009;6,2494;6,2522;2023-03-01 11:04:45.169;Intermediário
1,201;1,2014;6,2703;6,2731;2023-03-01 12:10:17.068;Intermediário
