paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,0857;1,0861;5,6499;5,6526;2023-01-23 11:07:17.842;Intermediário
1,086;1,0862;5,6397;5,6414;2023-01-23 12:08:17.196;Intermediário
1,0862;1,0866;5,6135;5,6162;2023-01-23 13:10:05.271;Intermediário
1,0862;1,0866;5,6391;5,6418;2023-01-23 13:10:05.284;Fechamento
1,0858;1,0862;5,625;5,6277;2023-01-24 10:09:17.4;Abertura
1,0864;1,0868;5,6223;5,6251;2023-01-24 11:08:17.672;Intermediário
1,0841;1,0842;5,6006;5,6017;2023-01-24 12:06:16.812;Intermediário
1,0874;1,0878;5,6048;5,6075;2023-01-24 13:07:36.427;Intermediário
1,0874;1,0878;5,6208;5,6235;2023-01-24 13:07:36.435;Fechamento
1,0872;1,0876;5,5606;5,5633;2023-01-25 10:10:16.908;Abertura
1,0871;1,0875;5,5651;5,5678;2023-01-25 11:08:16.633;Intermediário
1,0896;1,0897000000000001;5,5636;5,5648;2023-01-25 12:03:17.489;Intermediário
1,09;1,0903;5,5313;5,5335;2023-01-25 13:05:22.238;Intermediário
1,09;1,0903;5,5629;5,5651;2023-01-25 13:05:22.246;Fechamento
1,0892;1,0893;5,5596;5,5608;2023-01-26 10:10:30.974;Abertura
1,0898;1,0902;5,555;5,5577;2023-01-26 11:10:16.916;Intermediário
1,0888;1,089;5,5466;5,5482;2023-01-26 12:09:16.441;Intermediário
1,0853;1,0857;5,5157;5,5184;2023-01-26 13:02:40.378;Intermediário
1,0853;1,0857;5,5291;5,5318000000000005;2023-01-26 13:02:40.388;Fechamento
1,0865;1,0869;5,4994;5,5021;2023-01-27 10:03:16.616;Abertura
1,0862;1,0867;5,5113;5,5145;2023-01-27 11:09:17.667;Intermediário
1,0867;1,0869;5,5144;5,516;2023-01-27 12:09:17.398;Intermediário
1,0836000000000001;1,084;5,5204;5,5231;2023-01-27 13:02:20.817;Intermediário
1,0836000000000001;1,084;5,5005;5,5031;2023-01-27 13:02:20.823;Fechamento
1,0904;1,0906;5,558;5,5597;2023-01-30 10:08:40.771;Abertura
1,0886;1,0887;5,5496;5,5507;2023-01-30 11:11:17.456;Intermediário
1,0889;1,0893;5,5447;5,5475;2023-01-30 12:10:28.283;Intermediário
1,0869;1,0873;5,5367;5,5394;2023-01-30 13:09:30.18;Intermediário
1,0869;1,0873;5,5381;5,5408;2023-01-30 13:09:30.184;Fechamento
1,0826;1,0828;5,557;5,5587;2023-01-31 10:04:18.477;Abertura
1,085;1,0854;5,5168;5,5195;2023-01-31 11:11:17.036;Intermediário
1,0846;1,0849;5,5155;5,5177;2023-01-31 12:05:17.421;Intermediário
1,0859;1,0862;5,5367;5,5389;2023-01-31 13:11:17.029;Fechamento
1,0859;1,0862;5,5292;5,5314;2023-01-31 13:11:17.118;Intermediário
1,089;1,0894;5,5167;5,5193;2023-02-01 10:08:17.93;Abertura
1,0902;1,0906;5,5202;5,5229;2023-02-01 11:06:16.863;Intermediário
1,0902;1,0906;5,5401;5,5428;2023-02-01 12:02:17.664;Intermediário
1,0917;1,0921;5,5402000000000005;5,5428;2023-02-01 13:04:22.992;Intermediário
1,0917;1,0921;5,5366;5,5392;2023-02-01 13:04:23.003;Fechamento
1,0983;1,0985;5,5015;5,5032;2023-02-02 10:06:16.639;Abertura
1,0942;1,0946;5,4382;5,4408;2023-02-02 11:10:16.843;Intermediário
1,0904;1,0908;5,437;5,4396;2023-02-02 12:04:16.637;Intermediário
1,0937000000000001;1,0938;5,4604;5,4616;2023-02-02 13:06:34.979;Intermediário
1,0937000000000001;1,0938;5,457;5,4582;2023-02-02 13:06:34.991;Fechamento
1,093;1,0934;5,5476;5,5503;2023-02-03 10:06:17.451;Abertura
1,0835;1,0839;5,5232;5,5259;2023-02-03 11:08:17.024;Intermediário
1,0862;1,0866;5,5577;5,5603;2023-02-03 12:10:17.398;Intermediário
1,0856;1,086;5,5578;5,5605;2023-02-03 13:10:20.721;Intermediário
1,0856;1,086;5,5392;5,5419;2023-02-03 13:10:20.729;Fechamento
1,0772;1,0776;5,5554;5,5582;2023-02-06 10:04:20.025;Abertura
1,0756000000000001;1,076;5,5606;5,5634;2023-02-06 11:08:16.56;Intermediário
1,0742;1,0746;5,5738;5,5765;2023-02-06 12:07:16.861;Intermediário
1,0729;1,0733;5,5651;5,5679;2023-02-06 13:09:36.674;Intermediário
1,0729;1,0733;5,553;5,5557;2023-02-06 13:09:36.686;Fechamento
1,0702;1,0708;5,4964;5,5001999999999995;2023-02-07 10:10:17.1;Abertura
1,0695000000000001;1,0696;5,5279;5,5291;2023-02-07 11:05:16.382;Intermediário
